tags_FUN,tags_WIN,spell_FUN,spell_WIN,speed_share_FUN,win_stuck_frac,plausible,fun_gt_win,set,AROUSAL_DECAY_RATE,AROUSAL_RESTORATION_SWITCH,AROUSAL_RESTORATION_TAGGER,SOFTMAX_TEMPERATURE,STARTING_DISTANCE,CATCH_DISTANCE,PURSUIT_NOISE,GIVE_UP_DISTANCE,GIVE_UP_TIME
76.73,1.02,5.81,115.34,0.866804757917829,1.0,False,True,68,0.032957789924518,0.1483748317900653,1.4134358227144506,0.835955216055306,2.5361635573798207,1.822830136458697,1.0462172860353034,3.561885591646589,5.046986828728845
27.17,0.82,10.885,110.02,0.8562636982287337,0.96,True,True,69,0.0243859705495502,0.4887477883347223,2.396179105016803,2.47343776636327,3.2286452648748467,0.5684013837654356,0.5678755170256706,11.331125910616135,9.66991104991677
26.35,0.78,12.255,113.27,0.8737326343289724,1.0,True,True,70,0.0178510731865121,0.3624853619450263,2.316672846179419,3.524329653422844,3.1949339304243902,0.9354797831863686,0.6929887183425947,3.905648316717085,7.793479014695545
6.24,0.51,32.23,118.645,0.9290630145598568,1.0,True,True,71,0.0053078698377546,2.4044589124340785,2.946467042735025,0.17409534683313,2.285336039707079,0.6094436327181594,0.4220387196423623,10.639731480298746,3.860785172832307
27.86,0.65,7.055,110.335,0.8223582068242193,0.99,True,True,72,0.0618308713230713,1.5721833343448304,2.0173861220944516,1.4244056689090343,4.262127615076463,0.6948085460478629,0.3215895661915247,10.838411769298716,9.011194097983738
11.06,0.95,22.79,109.54,0.9184580228840383,1.0,True,True,73,0.0092501240096412,1.6526797805287967,1.92661683071276,1.4762579064232488,3.5951525016396033,1.737869390884501,1.1937817697434832,9.174670790421972,9.703465927175094
39.43,0.75,5.655,109.025,0.8027102813669488,0.97,True,True,74,0.0648992506046995,0.8282735480129145,1.1998080251122596,2.5703582290119935,3.350636959444753,0.5020670145065511,0.9045115004996228,10.7237192275864,9.044668377426667
82.59,1.13,3.81,115.285,0.900284768920131,1.0,False,True,75,0.0756843201486375,1.176394077214648,2.8258581835049585,1.7232552461018438,1.845056353890994,1.6665970806863768,1.3400468126900311,8.395315133591653,3.2869332882564013
7.57,0.39,28.01,115.4,0.8878452371639166,1.0,True,True,76,0.008234860297182,1.1015869084126564,1.577378241674896,2.3618481864879386,4.560351381849669,0.5972103151856105,1.1334512327996165,7.234907340969404,6.856271833893133
26.14,0.69,10.38,114.54,0.8788803052805061,1.0,True,True,77,0.0224442580134542,0.6870911211958273,1.2954944635302443,3.844325737051262,3.7687528812527185,1.5542996936426894,0.8684021569205651,3.892647347947428,6.339966756123444
17.08,0.91,13.945,112.21,0.9025018352760665,1.0,True,True,78,0.0188299177199003,1.9190039001559391,2.021076162273231,0.7921036956021085,3.5027703537871666,1.683236554159482,1.339203020973673,9.740446852667228,9.061189026223722
36.5,0.52,7.005,113.54,0.7965115738427387,0.99,True,True,79,0.0483635178135394,0.4699846707607514,2.926288238182601,1.809411524757364,4.3322078134541675,0.7448902132033783,1.0961362132888932,11.826854173114151,7.8242933594852335
124.21,1.2,5.065,113.975,0.8747869627483272,1.0,False,True,80,0.0501544417042153,0.1808119355287763,1.7391834597567957,1.7500480341576712,2.0152615682830937,1.8780674354125784,0.4205381335039973,9.350138310473724,6.241787333073655
24.77,0.54,8.77,113.18,0.8340202966104343,0.99,True,True,81,0.0448319943513272,1.3251310565189778,1.4590078242360969,2.6185106361854795,4.36746312803717,0.9009465242029402,0.2736338240724998,8.946373597520312,7.847030305718853
15.69,0.74,15.02,113.1,0.8987526537350958,1.0,True,True,82,0.0175391336406416,1.6798692168714409,2.840869783801532,3.915070124558021,3.8641700323748553,1.788181802326745,0.7379437944018854,6.8150137991977795,6.676055216983088
8.36,0.44,23.905,116.635,0.9064935150694332,1.0,True,True,83,0.0097862597028928,2.069812139109142,2.255018868393418,1.336250966516808,3.220553106046107,0.890476953081927,0.3189111290822824,10.205848873890414,4.12450795297304
17.49,0.57,13.215,115.455,0.8953218998673498,1.0,True,True,84,0.0183036859602008,1.2627417541776096,2.262036842110048,3.320217291619115,3.262254055492287,1.562078131452072,1.1769815797331835,11.648999712578968,3.9378966052413222
38.56,0.53,6.525,115.835,0.8366495276709152,1.0,True,True,85,0.0478598755938429,0.6772610456413692,2.580989546851287,2.0596175305527393,4.058914591838304,1.8587171801239817,1.43845945861497,11.026343176825945,4.936821097685077
81.93,0.91,3.935,109.45,0.7509331749988404,0.99,False,True,86,0.077711134335636,0.1224594616475369,2.282238842168333,1.486150686708584,2.6826489172957273,0.7694393409911794,0.736777220326883,10.687805540398166,8.067066705078505
33.97,0.67,5.7,114.71,0.8640428804645537,1.0,True,True,87,0.0699936318586463,2.765328598102619,2.8367815709825037,2.210721194637322,2.7636294259352847,1.2114708773682108,0.4307682683190282,7.884025796909653,3.651652910125747
43.47,1.18,9.415,112.255,0.9043028484562311,1.0,True,True,88,0.0293282437128675,1.332967968243194,2.497962637271029,0.9942592188395052,2.0060787982386348,1.8935629203157904,1.1219572401835811,8.755952668354393,9.770786793030824
31.31,0.34,6.35,117.39,0.8184254903505329,1.0,True,True,89,0.0672082535230835,1.3563096046408527,2.6627245682257494,1.5401830101790288,3.897626436542879,0.5713659066183998,1.3537820021050877,4.182310256832388,4.696761354425251
18.71,0.62,10.655,110.165,0.8481530655879443,0.97,True,True,90,0.0390961370468354,2.145214511620967,2.2129905653647493,1.4159138194489596,4.57117759551035,0.5081714586694625,1.1650363200379026,8.267629135677906,9.522408211976844
58.26,1.19,6.38,112.015,0.8966251865076644,1.0,True,True,91,0.0581785552567433,2.2555184561017447,2.747465507098524,1.241642178651298,1.6396319070558578,1.4784501296226698,0.98734253480001,11.937069995380332,9.157108832357148
59.38,0.98,4.425,110.56,0.8297236584471956,0.98,True,True,92,0.0748619028364915,0.6728462219830366,1.6270998991957932,1.9834947592867125,2.195283701926929,0.7714789916769844,0.7617476000638495,11.784968066864437,8.506785623162724
24.43,0.7,11.075,114.155,0.8789864330347834,1.0,True,True,93,0.0211163254745555,0.6538596095936131,2.8773529250365084,2.0644396737131556,2.6112594301769643,0.6666708817382915,0.2467609469363282,10.143700500399213,5.002472006810925
40.94,1.03,8.375,115.57,0.9016558468837634,1.0,True,True,94,0.0278257865712942,0.8428087036047565,1.2293326218256122,0.4648618789738689,2.5594881106884295,1.9970646275664516,0.1328396898903688,11.625982321235174,7.75403835408816
43.41,0.9,6.245,110.585,0.8276609674218197,0.99,True,True,95,0.0493173725559539,0.510203419393453,2.578133425680333,1.071733994969532,4.053823325434236,1.747069787733015,0.4531242647198045,11.08220718451556,9.628525062535402
26.61,0.68,9.275,115.27,0.884269235423754,1.0,True,True,96,0.0292968933670475,1.1775443887899064,1.8018112531780897,3.2011312242676233,2.4605320077735096,0.9774325800859802,0.152957081923386,3.783795856651283,3.728327137454179
40.43,0.96,5.565,110.415,0.8551244394265655,0.98,True,True,97,0.0745341894379168,1.7016708214579097,2.7775092970151887,1.8469104096285311,3.4684622196104766,1.8371435278757835,0.0204407457398988,11.638570101623802,8.588350085148573
40.93,1.12,9.1,115.58,0.9210995321131654,1.0,True,True,98,0.02366987176023,1.1050202157148057,2.3223431671570314,0.5088184260991826,1.7663763288556975,1.5493959536921544,0.0812469363649928,3.4057648064224195,8.942283032522893
34.36,0.47,7.415,113.405,0.7901512195297283,0.99,True,True,99,0.0464571481102895,0.5015207765434196,1.9050968709051712,3.708482259971293,4.837439231784631,1.037018151864833,0.065784223383553,11.748718223662111,7.334092626849323
46.7,1.0,4.805,111.34,0.8724315218460962,1.0,True,True,100,0.0783221648361737,1.8196673201699376,2.2677854836970943,3.9372501888175417,1.6657184171928416,0.5217180472363186,0.4463181393043505,3.07731743978507,9.318912023534365
57.94,0.24,5.45,117.485,0.6581466761744785,1.0,True,True,101,0.0673648210119495,0.1756194880286442,1.0797904210026943,3.351295111081685,4.559139272945395,0.7564307848127052,1.263400831925952,6.323979251338301,4.198742066185288
44.18,0.52,5.36,115.9,0.7668157056555743,1.0,True,True,102,0.0544198743176548,0.4115771553857947,1.053207905669047,0.4856912073848251,3.9650959178750114,0.5726921297204048,1.1967749083938066,9.795406163865223,7.375717435905003
21.5,0.68,14.21,112.785,0.8734055371839986,1.0,True,True,103,0.0148912470073047,0.4557876330087718,1.2646950388132865,2.242501696573411,2.92812970869984,0.587984525399848,0.1844799723808227,10.309463000604367,6.081007730696549
39.66,0.37,6.495,118.005,0.8079737494648209,1.0,True,True,104,0.0486300338357175,0.4971236271454664,1.9451284236872384,0.6567235333147231,3.455630725109456,0.5241217615776769,1.156349263268796,10.822436437762724,4.5833237494282955
30.56,0.96,6.77,110.665,0.8778681158862532,1.0,True,True,105,0.0533907389961639,2.4111322543345577,2.9352613746316765,3.914672703760698,2.852323464415,1.0580186267452114,0.7640093109816318,4.447314811023448,9.30795247010772
